Generation,ColoringCost,Iterations
1,0.005525,32618
2,0.006135,57071
3,0.006452,81506
4,0.006803,105928
5,0.006803,130382
6,0.007874,154814
7,0.007519,179261
8,0.007519,203703
9,0.008000,228128
10,0.008130,252547
11,0.008403,277025
12,0.009009,301499
13,0.010989,325957
14,0.011765,350407
15,0.012658,374826
16,0.014925,399264
17,0.018868,423711
18,0.018868,448152
19,0.023256,472579
20,0.032258,496997
21,0.037037,521427
22,0.043478,545837
23,0.066667,570311
24,0.066667,594740
25,0.090909,619206
26,0.090909,643576
27,0.090909,667955
28,0.090909,692359
29,0.090909,716783
30,0.090909,741158
31,0.090909,765592
32,0.142857,789998
33,0.142857,814412
34,0.111111,838812
35,0.111111,863250
36,0.111111,887685
37,0.111111,912153
38,0.111111,936562
39,0.111111,960947
40,0.111111,985323
41,0.111111,1009661
42,0.142857,1034100
43,0.142857,1058504
44,0.142857,1082876
45,0.142857,1107310
46,0.142857,1131719
47,0.142857,1156168
48,0.142857,1180566
49,0.142857,1204982
50,0.142857,1229378
51,0.142857,1253799
52,0.142857,1278218
53,0.142857,1302633
54,0.142857,1327064
55,0.142857,1351514
56,0.142857,1375946
57,0.250000,1400344
