Generation 1 | ColoringCost=0.005525 | Iterations=32618
Generation 2 | ColoringCost=0.006135 | Iterations=57071
Generation 3 | ColoringCost=0.006452 | Iterations=81506
Generation 4 | ColoringCost=0.006803 | Iterations=105928
Generation 5 | ColoringCost=0.006803 | Iterations=130382
Generation 6 | ColoringCost=0.007874 | Iterations=154814
Generation 7 | ColoringCost=0.007519 | Iterations=179261
Generation 8 | ColoringCost=0.007519 | Iterations=203703
Generation 9 | ColoringCost=0.008000 | Iterations=228128
Generation 10 | ColoringCost=0.008130 | Iterations=252547
Generation 11 | ColoringCost=0.008403 | Iterations=277025
Generation 12 | ColoringCost=0.009009 | Iterations=301499
Generation 13 | ColoringCost=0.010989 | Iterations=325957
Generation 14 | ColoringCost=0.011765 | Iterations=350407
Generation 15 | ColoringCost=0.012658 | Iterations=374826
Generation 16 | ColoringCost=0.014925 | Iterations=399264
Generation 17 | ColoringCost=0.018868 | Iterations=423711
Generation 18 | ColoringCost=0.018868 | Iterations=448152
Generation 19 | ColoringCost=0.023256 | Iterations=472579
Generation 20 | ColoringCost=0.032258 | Iterations=496997
Generation 21 | ColoringCost=0.037037 | Iterations=521427
Generation 22 | ColoringCost=0.043478 | Iterations=545837
Generation 23 | ColoringCost=0.066667 | Iterations=570311
Generation 24 | ColoringCost=0.066667 | Iterations=594740
Generation 25 | ColoringCost=0.090909 | Iterations=619206
Generation 26 | ColoringCost=0.090909 | Iterations=643576
Generation 27 | ColoringCost=0.090909 | Iterations=667955
Generation 28 | ColoringCost=0.090909 | Iterations=692359
Generation 29 | ColoringCost=0.090909 | Iterations=716783
Generation 30 | ColoringCost=0.090909 | Iterations=741158
Generation 31 | ColoringCost=0.090909 | Iterations=765592
Generation 32 | ColoringCost=0.142857 | Iterations=789998
Generation 33 | ColoringCost=0.142857 | Iterations=814412
Generation 34 | ColoringCost=0.111111 | Iterations=838812
Generation 35 | ColoringCost=0.111111 | Iterations=863250
Generation 36 | ColoringCost=0.111111 | Iterations=887685
Generation 37 | ColoringCost=0.111111 | Iterations=912153
Generation 38 | ColoringCost=0.111111 | Iterations=936562
Generation 39 | ColoringCost=0.111111 | Iterations=960947
Generation 40 | ColoringCost=0.111111 | Iterations=985323
Generation 41 | ColoringCost=0.111111 | Iterations=1009661
Generation 42 | ColoringCost=0.142857 | Iterations=1034100
Generation 43 | ColoringCost=0.142857 | Iterations=1058504
Generation 44 | ColoringCost=0.142857 | Iterations=1082876
Generation 45 | ColoringCost=0.142857 | Iterations=1107310
Generation 46 | ColoringCost=0.142857 | Iterations=1131719
Generation 47 | ColoringCost=0.142857 | Iterations=1156168
Generation 48 | ColoringCost=0.142857 | Iterations=1180566
Generation 49 | ColoringCost=0.142857 | Iterations=1204982
Generation 50 | ColoringCost=0.142857 | Iterations=1229378
Generation 51 | ColoringCost=0.142857 | Iterations=1253799
Generation 52 | ColoringCost=0.142857 | Iterations=1278218
Generation 53 | ColoringCost=0.142857 | Iterations=1302633
Generation 54 | ColoringCost=0.142857 | Iterations=1327064
Generation 55 | ColoringCost=0.142857 | Iterations=1351514
Generation 56 | ColoringCost=0.142857 | Iterations=1375946
Generation 57 | ColoringCost=0.250000 | Iterations=1400344
彩色数4の最適個体を発見（世代 57）
Total iterations: 1400345
