Generation 1 | FitnessScore=4 | ColoringCost=0.005348
Generation 2 | FitnessScore=4 | ColoringCost=0.005405
Generation 3 | FitnessScore=4 | ColoringCost=0.005650
Generation 4 | FitnessScore=4 | ColoringCost=0.005780
Generation 5 | FitnessScore=4 | ColoringCost=0.005780
Generation 6 | FitnessScore=4 | ColoringCost=0.005988
Generation 7 | FitnessScore=4 | ColoringCost=0.005988
Generation 8 | FitnessScore=4 | ColoringCost=0.005917
Generation 9 | FitnessScore=4 | ColoringCost=0.005917
Generation 10 | FitnessScore=4 | ColoringCost=0.006369
Generation 11 | FitnessScore=4 | ColoringCost=0.006369
Generation 12 | FitnessScore=4 | ColoringCost=0.006369
Generation 13 | FitnessScore=4 | ColoringCost=0.006536
Generation 14 | FitnessScore=4 | ColoringCost=0.006536
Generation 15 | FitnessScore=4 | ColoringCost=0.006536
Generation 16 | FitnessScore=4 | ColoringCost=0.007092
Generation 17 | FitnessScore=4 | ColoringCost=0.006897
Generation 18 | FitnessScore=4 | ColoringCost=0.007092
Generation 19 | FitnessScore=4 | ColoringCost=0.007092
Generation 20 | FitnessScore=4 | ColoringCost=0.007092
Generation 21 | FitnessScore=4 | ColoringCost=0.007407
Generation 22 | FitnessScore=4 | ColoringCost=0.007634
Generation 23 | FitnessScore=4 | ColoringCost=0.007874
Generation 24 | FitnessScore=4 | ColoringCost=0.008000
Generation 25 | FitnessScore=4 | ColoringCost=0.008264
Generation 26 | FitnessScore=4 | ColoringCost=0.008547
Generation 27 | FitnessScore=4 | ColoringCost=0.008547
Generation 28 | FitnessScore=4 | ColoringCost=0.008547
Generation 29 | FitnessScore=4 | ColoringCost=0.008696
Generation 30 | FitnessScore=4 | ColoringCost=0.009009
Generation 31 | FitnessScore=4 | ColoringCost=0.009174
Generation 32 | FitnessScore=4 | ColoringCost=0.009346
Generation 33 | FitnessScore=4 | ColoringCost=0.009709
Generation 34 | FitnessScore=4 | ColoringCost=0.010101
Generation 35 | FitnessScore=4 | ColoringCost=0.010101
Generation 36 | FitnessScore=4 | ColoringCost=0.010526
Generation 37 | FitnessScore=4 | ColoringCost=0.010989
Generation 38 | FitnessScore=4 | ColoringCost=0.011236
Generation 39 | FitnessScore=4 | ColoringCost=0.011494
Generation 40 | FitnessScore=4 | ColoringCost=0.011765
Generation 41 | FitnessScore=4 | ColoringCost=0.011765
Generation 42 | FitnessScore=4 | ColoringCost=0.012048
Generation 43 | FitnessScore=4 | ColoringCost=0.012346
Generation 44 | FitnessScore=4 | ColoringCost=0.012987
Generation 45 | FitnessScore=4 | ColoringCost=0.013333
Generation 46 | FitnessScore=4 | ColoringCost=0.014085
Generation 47 | FitnessScore=4 | ColoringCost=0.014085
Generation 48 | FitnessScore=4 | ColoringCost=0.014925
Generation 49 | FitnessScore=4 | ColoringCost=0.015385
Generation 50 | FitnessScore=4 | ColoringCost=0.015873
Generation 51 | FitnessScore=4 | ColoringCost=0.015873
Generation 52 | FitnessScore=4 | ColoringCost=0.015873
Generation 53 | FitnessScore=4 | ColoringCost=0.016393
Generation 54 | FitnessScore=4 | ColoringCost=0.016949
Generation 55 | FitnessScore=4 | ColoringCost=0.017544
Generation 56 | FitnessScore=4 | ColoringCost=0.018182
Generation 57 | FitnessScore=4 | ColoringCost=0.018868
Generation 58 | FitnessScore=4 | ColoringCost=0.019608
Generation 59 | FitnessScore=4 | ColoringCost=0.020408
Generation 60 | FitnessScore=4 | ColoringCost=0.020408
Generation 61 | FitnessScore=4 | ColoringCost=0.021277
Generation 62 | FitnessScore=4 | ColoringCost=0.021277
Generation 63 | FitnessScore=4 | ColoringCost=0.023256
Generation 64 | FitnessScore=4 | ColoringCost=0.023256
Generation 65 | FitnessScore=4 | ColoringCost=0.023256
Generation 66 | FitnessScore=4 | ColoringCost=0.024390
Generation 67 | FitnessScore=4 | ColoringCost=0.024390
Generation 68 | FitnessScore=4 | ColoringCost=0.025641
Generation 69 | FitnessScore=4 | ColoringCost=0.025641
Generation 70 | FitnessScore=4 | ColoringCost=0.025641
Generation 71 | FitnessScore=4 | ColoringCost=0.027027
Generation 72 | FitnessScore=4 | ColoringCost=0.027027
Generation 73 | FitnessScore=4 | ColoringCost=0.028571
Generation 74 | FitnessScore=4 | ColoringCost=0.028571
Generation 75 | FitnessScore=4 | ColoringCost=0.028571
Generation 76 | FitnessScore=4 | ColoringCost=0.030303
Generation 77 | FitnessScore=4 | ColoringCost=0.030303
Generation 78 | FitnessScore=4 | ColoringCost=0.030303
Generation 79 | FitnessScore=4 | ColoringCost=0.030303
Generation 80 | FitnessScore=4 | ColoringCost=0.030303
Generation 81 | FitnessScore=4 | ColoringCost=0.030303
Generation 82 | FitnessScore=4 | ColoringCost=0.030303
Generation 83 | FitnessScore=4 | ColoringCost=0.030303
Generation 84 | FitnessScore=4 | ColoringCost=0.030303
Generation 85 | FitnessScore=4 | ColoringCost=0.032258
Generation 86 | FitnessScore=4 | ColoringCost=0.032258
Generation 87 | FitnessScore=4 | ColoringCost=0.032258
Generation 88 | FitnessScore=4 | ColoringCost=0.032258
Generation 89 | FitnessScore=4 | ColoringCost=0.032258
Generation 90 | FitnessScore=4 | ColoringCost=0.032258
Generation 91 | FitnessScore=4 | ColoringCost=0.032258
Generation 92 | FitnessScore=4 | ColoringCost=0.032258
Generation 93 | FitnessScore=4 | ColoringCost=0.032258
Generation 94 | FitnessScore=4 | ColoringCost=0.032258
Generation 95 | FitnessScore=4 | ColoringCost=0.032258
Generation 96 | FitnessScore=4 | ColoringCost=0.032258
Generation 97 | FitnessScore=4 | ColoringCost=0.032258
Generation 98 | FitnessScore=4 | ColoringCost=0.032258
Generation 99 | FitnessScore=4 | ColoringCost=0.032258
Generation 100 | FitnessScore=4 | ColoringCost=0.032258
Generation 101 | FitnessScore=4 | ColoringCost=0.034483
Generation 102 | FitnessScore=4 | ColoringCost=0.034483
Generation 103 | FitnessScore=4 | ColoringCost=0.034483
Generation 104 | FitnessScore=4 | ColoringCost=0.034483
Generation 105 | FitnessScore=4 | ColoringCost=0.034483
Generation 106 | FitnessScore=4 | ColoringCost=0.037037
Generation 107 | FitnessScore=4 | ColoringCost=0.037037
Generation 108 | FitnessScore=4 | ColoringCost=0.034483
Generation 109 | FitnessScore=4 | ColoringCost=0.034483
Generation 110 | FitnessScore=4 | ColoringCost=0.034483
Generation 111 | FitnessScore=4 | ColoringCost=0.034483
Generation 112 | FitnessScore=4 | ColoringCost=0.034483
Generation 113 | FitnessScore=4 | ColoringCost=0.034483
Generation 114 | FitnessScore=4 | ColoringCost=0.034483
Generation 115 | FitnessScore=4 | ColoringCost=0.034483
Generation 116 | FitnessScore=4 | ColoringCost=0.034483
Generation 117 | FitnessScore=4 | ColoringCost=0.037037
Generation 118 | FitnessScore=4 | ColoringCost=0.037037
Generation 119 | FitnessScore=4 | ColoringCost=0.037037
Generation 120 | FitnessScore=4 | ColoringCost=0.037037
Generation 121 | FitnessScore=4 | ColoringCost=0.037037
Generation 122 | FitnessScore=4 | ColoringCost=0.037037
Generation 123 | FitnessScore=4 | ColoringCost=0.037037
